combo,method,accuracy,sensitivity,specificity,f1,auc,accuracy_ci_low,accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,f1_ci_low,f1_ci_high,auc_ci_low,auc_ci_high
combo1,Image only,0.7625,0.5862,0.8627,0.6415,0.6558,0.6474,0.8776,0.2761,0.8972,0.7192,1.0000,0.3543,0.8848,0.3717,0.9392
combo1,Clinical only,0.7875,0.5517,0.9216,0.6531,0.7532,0.6990,0.8760,0.3406,0.7528,0.8277,1.0000,0.4448,0.8348,0.6844,0.8459
combo1,LLR,0.7375,0.4138,0.9216,0.5333,0.7410,0.6525,0.8225,0.0686,0.7447,0.8185,1.0000,0.2164,0.7643,0.5537,0.9451
combo1,Product rule,0.7500,0.5517,0.8627,0.6154,0.7410,0.5765,0.9235,0.2200,0.8733,0.6993,1.0000,0.3099,0.8846,0.5537,0.9451
combo1,Majority vote,0.7625,0.5172,0.9020,0.6122,,0.6474,0.8776,0.2332,0.7934,0.7775,1.0000,0.3713,0.8164,,
combo1,Soft vote,0.7625,0.5172,0.9020,0.6122,0.7742,0.6474,0.8776,0.2332,0.7934,0.7775,1.0000,0.3713,0.8164,0.6581,0.8867
combo2,Image only,0.7625,0.5862,0.8627,0.6415,0.6558,0.6474,0.8776,0.2761,0.8972,0.7192,1.0000,0.3543,0.8848,0.3717,0.9392
combo2,Clinical only,0.7500,0.6207,0.8235,0.6429,0.7620,0.6550,0.8450,0.3508,0.8892,0.7697,0.8775,0.4379,0.8175,0.6448,0.8709
combo2,LLR,0.7000,0.3793,0.8824,0.4783,0.7045,0.5849,0.8151,0.1126,0.6341,0.7194,1.0000,0.2091,0.6983,0.4643,0.9533
combo2,Product rule,0.7500,0.6207,0.8235,0.6429,0.7045,0.5447,0.9553,0.2805,0.9595,0.6581,0.9855,0.3014,0.9628,0.4643,0.9533
combo2,Majority vote,0.7625,0.5517,0.8824,0.6275,,0.6132,0.9118,0.2455,0.8611,0.7194,1.0000,0.3191,0.8922,,
combo2,Soft vote,0.7625,0.5517,0.8824,0.6275,0.7498,0.6132,0.9118,0.2455,0.8611,0.7194,1.0000,0.3191,0.8922,0.5956,0.8941
combo3,Image only,0.6875,0.8621,0.5882,0.6667,0.7252,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,0.6202,0.8186
combo3,Clinical only,0.7875,0.5517,0.9216,0.6531,0.7532,0.6990,0.8760,0.3406,0.7528,0.8277,1.0000,0.4448,0.8348,0.6844,0.8459
combo3,LLR,0.6875,0.8621,0.5882,0.6667,0.8384,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,0.7776,0.9352
combo3,Product rule,0.6875,0.8621,0.5882,0.6667,0.8384,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,0.7776,0.9352
combo3,Majority vote,0.6875,0.8621,0.5882,0.6667,,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,,
combo3,Soft vote,0.6875,0.8621,0.5882,0.6667,0.8384,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,0.7776,0.9352
combo4,Image only,0.6875,0.8621,0.5882,0.6667,0.7252,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,0.6202,0.8186
combo4,Clinical only,0.7500,0.6207,0.8235,0.6429,0.7620,0.6550,0.8450,0.3508,0.8892,0.7697,0.8775,0.4379,0.8175,0.6448,0.8709
combo4,LLR,0.6875,0.8621,0.5882,0.6667,0.8350,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,0.7500,0.9476
combo4,Product rule,0.6875,0.8621,0.5882,0.6667,0.8350,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,0.7500,0.9476
combo4,Majority vote,0.6875,0.8621,0.5882,0.6667,,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,,
combo4,Soft vote,0.6875,0.8621,0.5882,0.6667,0.8350,0.5648,0.8102,0.6023,1.0000,0.3112,0.8597,0.5483,0.7759,0.7500,0.9476
