model,classifier,fs_config,accuracy,sensitivity,specificity,f1,auc,TP,TN,FP,FN
ResNet50,LDA,ANOVA200_PCA5,0.7625,0.5862,0.8627,0.6415,0.6558,17,44,7,12
ResNet50,SVM_C1,ANOVA10,0.7500,0.6552,0.8039,0.6552,0.6815,19,41,10,10
ResNet50,MLP_64_tanh,ANOVA200_PCA10,0.7500,0.6207,0.8235,0.6429,0.6870,18,42,9,11
DenseNet121,GBM_200,ANOVA100_PCA20,0.7500,0.5517,0.8627,0.6154,0.7194,16,44,7,13
ResNet50,MLP_128,ANOVA200_PCA10,0.7500,0.5517,0.8627,0.6154,0.6619,16,44,7,13
DenseNet121,MLP_64_tanh,ANOVA200_PCA10,0.7375,0.5172,0.8627,0.5882,0.6437,15,44,7,14
ResNet50,RF_100,ANOVA10,0.7375,0.4828,0.8824,0.5714,0.6951,14,45,6,15
ResNet50,RF_500,ANOVA100,0.7375,0.4828,0.8824,0.5714,0.6619,14,45,6,15
DenseNet121,AdaBoost_100,ANOVA100_PCA20,0.7375,0.4828,0.8824,0.5714,0.6558,14,45,6,15
DenseNet121,RF_100,ANOVA200_PCA15,0.7375,0.4828,0.8824,0.5714,0.6525,14,45,6,15
ResNet50,GaussianNB,PCA10,0.7375,0.4483,0.9020,0.5532,0.6312,13,46,5,16
DenseNet121,GaussianNB,PCA10,0.7375,0.3793,0.9412,0.5116,0.6775,11,48,3,18
DenseNet121,LDA,ANOVA200_PCA10,0.7375,0.3793,0.9412,0.5116,0.6761,11,48,3,18
DenseNet121,GaussianNB,PCA20,0.7375,0.3793,0.9412,0.5116,0.6281,11,48,3,18
ResNet50,SVM_C0.5,ANOVA10,0.7250,0.5862,0.8039,0.6071,0.6876,17,41,10,12
ResNet50,GaussianNB,ANOVA10,0.7250,0.5862,0.8039,0.6071,0.6423,17,41,10,12
DenseNet121,GBM_100,ANOVA100_PCA20,0.7250,0.5517,0.8235,0.5926,0.7201,16,42,9,13
DenseNet121,GBM_200,ANOVA100_PCA10,0.7250,0.5517,0.8235,0.5926,0.6795,16,42,9,13
DenseNet121,GBM_100,ANOVA100_PCA10,0.7250,0.5517,0.8235,0.5926,0.6728,16,42,9,13
ResNet50,SVM_C10,ANOVA200_PCA10,0.7250,0.5517,0.8235,0.5926,0.6721,16,42,9,13
ResNet50,ExtraTrees_100,ANOVA20,0.7250,0.5517,0.8235,0.5926,0.6650,16,42,9,13
ResNet50,AdaBoost_100,ANOVA10,0.7250,0.5517,0.8235,0.5926,0.6619,16,42,9,13
ResNet50,MLP_32_16,ANOVA200_PCA15,0.7250,0.5517,0.8235,0.5926,0.6234,16,42,9,13
DenseNet121,GBM_100,ANOVA200_PCA10,0.7250,0.5172,0.8431,0.5769,0.6944,15,43,8,14
DenseNet121,Ridge_10,ANOVA200_PCA10,0.7250,0.5172,0.8431,0.5769,0.6761,15,43,8,14
ResNet50,RF_500,ANOVA20,0.7250,0.5172,0.8431,0.5769,0.6592,15,43,8,14
ResNet50,MLP_128_64,ANOVA200_PCA10,0.7250,0.5172,0.8431,0.5769,0.6491,15,43,8,14
DenseNet121,RF_100,ANOVA200_PCA10,0.7250,0.5172,0.8431,0.5769,0.6342,15,43,8,14
ResNet50,RF_100,ANOVA20,0.7250,0.4828,0.8627,0.5600,0.6616,14,44,7,15
ResNet50,LDA,PCA10,0.7250,0.4828,0.8627,0.5600,0.6498,14,44,7,15
DenseNet121,MLP_64_reg,ANOVA200_PCA10,0.7250,0.4828,0.8627,0.5600,0.6464,14,44,7,15
DenseNet121,RF_500,ANOVA200_PCA10,0.7250,0.4828,0.8627,0.5600,0.6396,14,44,7,15
DenseNet121,MLP_64,ANOVA200_PCA10,0.7250,0.4828,0.8627,0.5600,0.6302,14,44,7,15
DenseNet121,GBM_100,ANOVA50_PCA5,0.7250,0.4828,0.8627,0.5600,0.5933,14,44,7,15
ResNet50,ExtraTrees_100,ANOVA100,0.7250,0.4483,0.8824,0.5417,0.6582,13,45,6,16
ResNet50,RF_100,ANOVA100,0.7250,0.4483,0.8824,0.5417,0.6525,13,45,6,16
DenseNet121,ExtraTrees_100,ANOVA200_PCA15,0.7250,0.4483,0.8824,0.5417,0.6373,13,45,6,16
ResNet50,RF_500,ANOVA200,0.7250,0.4138,0.9020,0.5217,0.6602,12,46,5,17
DenseNet121,RF_500,ANOVA100_PCA10,0.7250,0.4138,0.9020,0.5217,0.6491,12,46,5,17
DenseNet121,GBM_200,ANOVA100_PCA5,0.7250,0.4138,0.9020,0.5217,0.6410,12,46,5,17
DenseNet121,RF_500,ANOVA100_PCA20,0.7250,0.3793,0.9216,0.5000,0.6636,11,47,4,18
DenseNet121,GaussianNB,PCA30,0.7250,0.3793,0.9216,0.5000,0.6362,11,47,4,18
DenseNet121,LDA,ANOVA200_PCA15,0.7250,0.3793,0.9216,0.5000,0.6322,11,47,4,18
DenseNet121,LDA,ANOVA100_PCA10,0.7250,0.3448,0.9412,0.4762,0.6491,10,48,3,19
DenseNet121,ExtraTrees_100,PCA20,0.7250,0.3448,0.9412,0.4762,0.6318,10,48,3,19
DenseNet121,SVM_poly3_C0.1,ANOVA10,0.7250,0.2414,1.0000,0.3889,0.6335,7,51,0,22
DenseNet121,SVM_poly2_C0.1,ANOVA10,0.7250,0.2414,1.0000,0.3889,0.5963,7,51,0,22
ResNet50,BagSVM_C0.1,ANOVA10,0.7125,0.6897,0.7255,0.6349,0.6771,20,37,14,9
ResNet50,MLP_32,ANOVA200_PCA10,0.7125,0.6207,0.7647,0.6102,0.6673,18,39,12,11
DenseNet121,LogReg_l1_C0.1,ANOVA20,0.7125,0.6207,0.7647,0.6102,0.6592,18,39,12,11
DenseNet121,GBM_200,ANOVA200,0.7125,0.5862,0.7843,0.5965,0.6599,17,40,11,12
DenseNet121,LogReg_l1_C0.1,ANOVA100,0.7125,0.5862,0.7843,0.5965,0.6518,17,40,11,12
DenseNet121,LogReg_l1_C0.1,ANOVA50,0.7125,0.5862,0.7843,0.5965,0.6518,17,40,11,12
DenseNet121,GBM_200,ANOVA100_PCA30,0.7125,0.5517,0.8039,0.5818,0.7052,16,41,10,13
DenseNet121,GBM_200,ANOVA200_PCA10,0.7125,0.5517,0.8039,0.5818,0.6870,16,41,10,13
ResNet50,SVM_C10,ANOVA100_PCA10,0.7125,0.5517,0.8039,0.5818,0.6700,16,41,10,13
DenseNet121,LogReg_l1_C0.1,ANOVA200,0.7125,0.5517,0.8039,0.5818,0.6504,16,41,10,13
DenseNet121,GBM_100,ANOVA100,0.7125,0.5517,0.8039,0.5818,0.6498,16,41,10,13
DenseNet121,GBM_200,ANOVA100,0.7125,0.5517,0.8039,0.5818,0.6491,16,41,10,13
ResNet50,MLP_32,ANOVA200_PCA15,0.7125,0.5517,0.8039,0.5818,0.6295,16,41,10,13
InceptionV3,QDA,ANOVA100_PCA20,0.7125,0.5517,0.8039,0.5818,0.6139,16,41,10,13
DenseNet121,LogReg_elasticnet_C0.1,PCA30,0.7125,0.5172,0.8235,0.5660,0.6924,15,42,9,14
ResNet50,MLP_128_64_reg,ANOVA200_PCA10,0.7125,0.5172,0.8235,0.5660,0.6531,15,42,9,14
ResNet50,MLP_64_tanh,ANOVA100_PCA10,0.7125,0.5172,0.8235,0.5660,0.6525,15,42,9,14
ResNet50,SVM_C10,ANOVA200_PCA15,0.7125,0.5172,0.8235,0.5660,0.6389,15,42,9,14
InceptionV3,LogReg_C0.1,PCA50,0.7125,0.5172,0.8235,0.5660,0.5646,15,42,9,14
DenseNet121,RF_100,ANOVA10,0.7125,0.4828,0.8431,0.5490,0.6400,14,43,8,15
ResNet50,RF_500,ANOVA200_PCA5,0.7125,0.4828,0.8431,0.5490,0.6190,14,43,8,15
DenseNet121,SVM_C1,PCA50,0.7125,0.4483,0.8627,0.5306,0.6937,13,44,7,16
ResNet50,RF_500,ANOVA10,0.7125,0.4483,0.8627,0.5306,0.6809,13,44,7,16
DenseNet121,AdaBoost_100,ANOVA100_PCA5,0.7125,0.4483,0.8627,0.5306,0.6464,13,44,7,16
DenseNet121,GBM_200,ANOVA50_PCA20,0.7125,0.4483,0.8627,0.5306,0.6295,13,44,7,16
DenseNet121,GBM_100,ANOVA100_PCA5,0.7125,0.4138,0.8824,0.5106,0.6430,12,45,6,17
DenseNet121,RF_500,ANOVA50_PCA5,0.7125,0.4138,0.8824,0.5106,0.6291,12,45,6,17
ResNet50,RF_100,PCA10,0.7125,0.4138,0.8824,0.5106,0.6210,12,45,6,17
InceptionV3,LDA,PCA50,0.7125,0.4138,0.8824,0.5106,0.5355,12,45,6,17
ResNet50,RF_100,ANOVA200,0.7125,0.3793,0.9020,0.4889,0.6795,11,46,5,18
DenseNet121,ExtraTrees_100,ANOVA100_PCA30,0.7125,0.3793,0.9020,0.4889,0.6376,11,46,5,18
DenseNet121,QDA,ANOVA200_PCA5,0.7125,0.3793,0.9020,0.4889,0.6210,11,46,5,18
DenseNet121,GaussianNB,PCA15,0.7125,0.3793,0.9020,0.4889,0.6180,11,46,5,18
ResNet50,GaussianNB,PCA15,0.7125,0.3793,0.9020,0.4889,0.5825,11,46,5,18
DenseNet121,LDA,ANOVA50_PCA10,0.7125,0.3448,0.9216,0.4651,0.6552,10,47,4,19
InceptionV3,ExtraTrees_100,ANOVA50_PCA30,0.7125,0.3448,0.9216,0.4651,0.6247,10,47,4,19
ResNet50,SVM_C0.5,PCA50,0.7125,0.3448,0.9216,0.4651,0.6038,10,47,4,19
ResNet50,SVM_poly2_C0.1,ANOVA10,0.7125,0.3103,0.9412,0.4390,0.7018,9,48,3,20
ResNet50,LDA,PCA5,0.7125,0.3103,0.9412,0.4390,0.5734,9,48,3,20
ResNet50,SVM_C0.1_calibrated,PCA50,0.7125,0.2759,0.9608,0.4103,0.5639,8,49,2,21
InceptionV3,GaussianNB,PCA20,0.7125,0.2414,0.9804,0.3784,0.6416,7,50,1,22
InceptionV3,GaussianNB,PCA30,0.7125,0.2414,0.9804,0.3784,0.5991,7,50,1,22
DenseNet121,SVM_poly3_C0.1,ANOVA20,0.7125,0.2069,1.0000,0.3429,0.6335,6,51,0,23
DenseNet121,SVM_poly2_C0.1,ANOVA20,0.7125,0.2069,1.0000,0.3429,0.6146,6,51,0,23
ResNet50,SVM_poly2_C0.1,ANOVA50_PCA30,0.7125,0.2069,1.0000,0.3429,0.5909,6,51,0,23
ResNet50,SVM_poly2_C0.1,ANOVA100_PCA15,0.7125,0.2069,1.0000,0.3429,0.5903,6,51,0,23
ResNet50,SVM_poly2_C0.1,ANOVA50_PCA15,0.7125,0.2069,1.0000,0.3429,0.5869,6,51,0,23
ResNet50,SVM_poly2_C0.1,ANOVA50_PCA20,0.7125,0.2069,1.0000,0.3429,0.5849,6,51,0,23
ResNet50,MLP_64,ANOVA100_PCA5,0.7000,0.6207,0.7451,0.6000,0.6876,18,38,13,11
DenseNet121,SGD_modified_huber,PCA20,0.7000,0.6207,0.7451,0.6000,0.6829,18,38,13,11
ResNet50,SVM_C1,ANOVA100_PCA15,0.7000,0.5862,0.7647,0.5862,0.6815,17,39,12,12
ResNet50,SVM_linear_C0.1,ANOVA10,0.7000,0.5862,0.7647,0.5862,0.6302,17,39,12,12
ResNet50,MLP_128,ANOVA10,0.7000,0.5862,0.7647,0.5862,0.6153,17,39,12,12
DenseNet121,Ridge,PCA10,0.7000,0.5517,0.7843,0.5714,0.7011,16,40,11,13
DenseNet121,Ridge_0.1,PCA10,0.7000,0.5517,0.7843,0.5714,0.7011,16,40,11,13
DenseNet121,Ridge_10,PCA10,0.7000,0.5517,0.7843,0.5714,0.7011,16,40,11,13
ResNet50,SVM_C10,ANOVA200_PCA5,0.7000,0.5517,0.7843,0.5714,0.6782,16,40,11,13
ResNet50,SVM_C1,ANOVA100_PCA20,0.7000,0.5517,0.7843,0.5714,0.6755,16,40,11,13
ResNet50,SVM_linear_C0.1,PCA10,0.7000,0.5517,0.7843,0.5714,0.6667,16,40,11,13
